"Q260","Q262","Q275","Q71","Q115","Q113","Q199","Q251","Q33"
1,50,2,1,2,1,3,8,3
1,40,3,1,1,1,3,4,1
2,52,1,2,2,2,4,5,4
1,54,2,1,2,2,1,10,4
1,46,2,1,2,2,2,6,2
2,57,1,1,2,2,2,9,2
2,68,1,1,2,2,2,7,3
2,55,1,2,2,2,3,10,2
1,67,3,1,2,2,2,8,2
2,66,0,3,3,3,3,1,2
2,40,2,1,2,3,2,10,2
1,59,2,2,3,3,2,7,1
2,56,2,1,3,2,3,8,3
1,50,2,2,2,2,3,8,2
1,55,2,1,2,2,1,8,1
1,62,2,1,1,1,3,8,1
2,54,0,1,1,1,4,10,2
2,52,1,3,2,2,4,7,4
2,54,0,1,2,2,4,8,2
2,58,2,2,2,2,1,10,4
2,31,3,1,2,2,2,7,1
2,47,2,2,3,2,3,8,4
1,62,3,1,2,2,1,7,1
1,61,3,1,2,2,2,10,4
1,64,2,1,2,-1,2,4,2
2,66,0,2,2,2,2,9,4
2,48,2,1,2,2,2,10,2
1,18,3,1,2,2,2,10,5
1,66,1,1,2,2,4,9,2
2,65,0,2,2,3,2,8,2
2,68,0,1,2,2,3,5,4
2,29,3,1,3,3,3,5,4
2,66,0,1,2,2,2,10,2
2,64,3,1,2,2,2,8,2
2,42,2,1,4,2,3,7,2
2,66,0,1,2,3,4,6,4
1,54,2,1,2,2,3,5,2
2,30,3,2,2,2,2,7,2
2,67,0,1,3,2,3,8,3
2,19,3,2,2,2,3,9,3
2,24,2,2,1,1,2,8,4
2,65,0,1,2,2,3,8,1
1,59,2,2,2,2,3,9,4
2,41,1,1,2,1,2,6,1
2,48,1,2,2,2,2,9,4
2,42,2,2,2,2,3,7,1
2,30,2,1,2,2,2,10,2
2,45,2,2,2,2,2,6,4
2,61,2,1,2,2,1,8,1
1,43,1,2,2,2,1,10,2
2,32,2,1,1,1,1,10,5
1,39,2,2,2,2,2,9,2
2,44,1,3,4,3,3,6,2
2,51,0,1,2,2,3,10,4
2,29,3,2,1,1,1,10,5
2,36,3,1,1,1,3,5,4
2,58,0,2,2,1,4,6,3
2,66,1,1,1,2,2,10,4
2,53,0,1,2,2,1,8,4
1,67,6,2,2,2,3,6,4
2,49,1,1,2,2,4,10,1
1,28,1,1,2,2,3,3,4
2,35,2,1,2,1,3,10,4
2,67,1,2,2,1,2,10,4
2,49,0,1,2,2,3,8,4
1,44,2,1,2,2,2,9,3
2,58,2,1,1,2,2,9,3
2,44,1,1,3,3,2,8,3
2,54,0,2,2,2,4,7,2
1,67,2,1,3,2,2,9,2
2,59,2,2,2,2,3,6,2
1,55,2,1,2,2,2,7,4
1,61,3,1,2,2,2,9,4
1,42,3,2,3,2,3,8,1
2,47,1,3,2,2,4,7,2
1,20,6,1,2,2,3,7,4
1,29,3,1,2,1,2,8,4
2,64,0,1,2,2,2,7,2
2,20,3,2,3,3,2,5,4
2,63,0,1,-2,-2,3,7,4
1,22,3,2,2,2,2,10,3
1,70,0,1,2,2,2,8,3
1,46,6,1,3,3,2,6,2
1,52,3,1,3,2,2,5,2
2,50,1,1,2,2,2,9,2
1,61,2,2,2,1,1,9,2
2,68,1,1,2,2,3,10,4
1,53,2,1,2,2,3,7,2
2,55,1,1,2,2,4,9,4
1,62,2,1,3,1,2,5,2
1,47,2,1,2,2,2,9,5
2,47,0,2,2,1,4,9,4
1,22,6,2,2,2,2,6,4
2,58,1,2,3,2,2,10,2
1,29,3,1,3,2,2,4,2
2,63,0,1,2,2,1,10,4
1,38,6,-2,3,3,3,3,4
2,67,0,1,2,2,4,3,2
1,48,1,2,3,2,2,10,4
1,18,6,2,2,2,2,10,4
2,70,1,2,2,2,2,10,2
2,42,2,2,2,2,2,5,2
1,66,2,1,2,2,3,8,2
1,47,2,1,3,3,1,1,2
1,38,6,2,3,3,2,5,2
1,53,2,1,2,2,3,8,4
2,53,2,1,2,2,3,8,1
2,42,1,2,2,2,3,7,2
1,29,3,1,2,2,2,7,1
2,35,2,2,2,2,3,4,2
1,60,1,2,2,2,3,8,2
2,41,2,2,2,2,3,5,4
1,48,2,1,2,2,2,10,2
2,44,2,1,2,2,2,9,4
1,30,3,3,3,2,3,4,4
2,50,1,2,2,2,3,2,4
1,54,1,1,4,2,1,10,1
2,44,2,3,3,2,3,8,4
2,33,2,2,2,2,2,3,2
1,63,2,1,2,2,3,5,4
2,64,0,1,2,2,3,7,4
2,46,3,2,2,2,2,5,1
1,31,1,2,2,2,3,10,2
1,41,2,1,3,2,3,4,2
1,32,2,2,2,2,3,5,4
1,19,6,1,2,2,2,5,4
1,28,6,3,3,3,2,2,4
2,70,1,1,2,2,2,7,4
2,49,2,2,2,2,2,9,2
2,66,2,1,1,1,1,10,2
2,28,6,2,3,3,3,5,4
1,69,2,2,2,2,1,7,4
2,36,-2,2,2,2,3,7,2
2,18,3,1,3,2,3,7,4
1,22,3,1,3,2,4,3,2
1,43,2,1,2,2,2,10,1
2,46,0,1,3,2,2,1,2
2,51,1,1,1,1,2,10,2
2,25,6,1,3,2,2,8,4
2,34,2,2,2,2,3,7,2
1,70,2,1,-2,-2,1,6,4
1,33,2,1,2,2,2,10,4
2,62,1,1,3,2,1,10,1
1,51,2,1,2,2,2,10,4
1,39,2,2,3,3,2,4,2
2,62,1,1,2,2,2,10,1
1,60,0,2,3,2,2,9,2
2,39,1,1,2,2,3,6,2
1,31,1,2,2,2,3,5,3
1,44,6,2,2,2,3,10,4
2,60,0,2,2,1,3,8,4
2,66,1,2,3,2,3,8,1
1,64,1,1,2,2,1,10,2
2,61,0,1,1,1,2,10,3
2,52,1,1,2,2,4,5,4
2,30,2,2,1,1,3,6,4
2,32,2,1,2,1,3,10,2
1,60,0,1,1,1,4,6,4
2,54,1,1,2,2,1,8,2
2,60,0,1,1,3,1,7,1
2,43,2,2,2,2,3,10,4
2,34,6,3,3,3,3,7,4
2,33,3,1,2,2,3,8,4
2,61,7,2,4,2,4,1,4
2,53,6,2,3,3,2,9,2
2,25,6,2,3,3,3,7,2
1,18,3,1,2,2,3,8,2
1,41,2,2,3,3,3,10,2
2,23,2,2,4,3,3,9,4
2,49,1,2,2,2,3,10,2
2,30,6,2,3,2,3,5,4
2,42,6,2,2,2,2,8,2
2,44,1,2,3,2,3,8,4
2,21,6,1,2,2,2,5,4
1,18,2,2,3,2,2,10,4
2,49,3,1,2,2,3,10,2
1,41,6,2,3,2,1,3,2
1,49,3,3,3,3,4,3,2
1,55,2,1,4,2,3,5,1
2,56,2,1,2,2,2,8,2
1,33,3,3,3,3,3,3,4
2,19,2,1,2,2,2,8,4
2,32,3,1,3,2,3,5,5
1,33,3,2,2,2,2,8,2
2,28,3,2,3,2,3,8,2
1,57,3,1,2,2,3,7,4
1,30,6,2,3,3,1,6,2
1,30,6,2,3,2,3,8,4
1,33,1,1,4,3,2,6,4
1,29,2,1,2,2,3,8,1
2,19,6,1,3,2,2,7,4
1,32,2,1,1,2,3,3,2
1,24,6,2,2,2,2,10,2
2,37,3,2,4,3,3,1,2
2,19,6,1,2,2,2,7,4
2,25,7,2,3,2,3,4,4
2,21,6,1,3,2,2,6,4
2,52,2,2,3,3,2,8,2
1,38,2,2,2,3,2,10,2
1,45,2,1,3,2,2,8,2
2,28,6,2,2,2,2,8,5
2,47,1,2,3,2,2,7,2
1,20,6,3,3,3,3,6,5
1,21,6,2,3,2,3,4,4
2,23,6,2,3,2,2,8,4
2,68,1,2,2,2,3,8,4
1,44,3,1,3,3,2,10,4
1,40,-2,1,2,2,3,7,3
2,47,1,2,3,2,2,7,2
2,20,6,1,2,2,3,-2,3
2,65,0,1,3,2,4,7,4
2,20,6,2,2,2,2,8,4
2,36,3,1,3,3,1,10,5
2,21,6,1,2,2,3,8,3
1,35,2,1,2,2,4,8,4
1,59,3,2,2,2,4,2,1
1,18,3,1,3,2,2,8,5
2,47,1,2,2,2,3,7,2
1,26,3,3,3,3,2,3,2
1,23,3,2,2,1,2,8,4
2,18,3,2,3,2,3,9,3
2,42,2,3,4,4,3,1,2
2,58,2,2,2,2,3,8,3
2,45,1,2,2,2,3,8,5
2,59,2,2,3,3,1,7,2
2,57,1,3,2,2,3,8,2
2,55,-2,2,2,2,2,7,5
2,29,6,1,1,2,3,5,4
2,39,3,1,2,2,3,8,4
2,18,3,2,2,1,2,8,4
2,21,6,1,2,2,1,7,4
1,25,3,1,2,2,3,7,4
1,53,2,2,3,2,3,7,2
1,18,3,2,3,3,3,10,4
2,35,6,1,2,2,2,6,4
2,33,6,2,3,2,3,1,4
2,31,6,2,2,2,2,7,4
2,20,6,1,3,2,3,7,5
2,36,2,2,3,2,3,6,4
1,37,2,2,3,2,2,8,2
2,26,2,1,2,2,2,1,2
2,29,6,1,3,2,3,8,5
1,45,2,1,2,2,2,10,2
2,28,3,2,2,2,2,4,4
1,20,6,2,2,2,2,9,4
1,58,3,2,2,2,3,8,2
2,55,2,2,2,2,3,6,5
2,30,3,2,2,2,3,6,4
1,37,6,1,3,2,3,8,4
2,54,3,2,2,2,4,10,1
2,28,2,1,2,1,2,4,2
2,33,2,2,3,3,2,5,4
2,29,2,2,2,2,3,8,4
1,18,3,2,2,2,1,9,4
1,25,2,3,2,2,3,7,4
2,41,6,2,2,2,2,7,4
2,21,6,1,2,2,3,10,4
2,63,1,2,2,2,2,8,1
2,37,6,2,3,2,2,7,4
2,66,1,2,2,2,2,7,2
1,30,3,1,2,2,4,4,3
2,30,6,1,2,2,3,6,2
2,22,6,2,3,2,2,7,3
2,29,6,2,2,2,2,7,4
1,19,3,2,2,2,2,7,3
2,48,3,2,2,2,2,9,2
2,50,2,2,4,3,1,6,5
1,28,6,2,3,2,3,9,4
2,38,2,2,2,2,1,10,2
1,30,3,2,2,3,3,5,4
2,66,1,1,2,2,2,8,4
1,22,6,1,2,1,1,7,4
1,68,1,2,2,2,4,7,3
1,37,2,1,2,2,3,9,2
2,31,1,2,2,2,2,10,2
2,30,2,2,4,3,2,6,4
2,39,2,1,2,2,2,7,1
1,41,2,3,2,2,3,6,2
2,66,1,1,3,2,3,4,1
1,48,2,4,4,4,4,1,2
2,67,-2,2,2,2,4,8,2
2,67,1,1,2,2,4,9,3
2,59,3,3,1,2,3,7,2
2,63,1,1,3,3,2,1,2
2,35,2,1,2,1,3,7,1
2,66,1,1,2,2,4,10,5
2,64,0,1,2,2,4,10,3
1,49,2,2,2,2,2,7,3
1,18,3,1,3,2,2,5,5
2,44,1,1,3,3,2,7,1
2,46,2,2,2,2,3,10,2
2,64,3,1,2,2,2,6,3
2,28,3,1,2,2,3,6,4
2,59,0,1,2,2,4,8,3
1,48,1,2,2,2,2,8,5
2,68,1,1,2,2,3,9,4
2,62,3,2,3,3,4,10,2
2,37,6,1,2,2,2,8,2
2,69,1,4,3,2,3,6,4
1,46,1,3,4,4,4,1,4
1,46,3,1,3,4,1,6,2
2,45,1,1,2,2,4,8,2
2,32,6,2,3,3,3,6,4
2,42,3,2,2,2,2,10,4
1,42,6,1,2,2,2,8,5
1,20,6,2,2,3,4,9,4
2,45,6,1,2,2,2,7,4
2,36,3,1,2,2,3,9,4
2,44,3,1,3,2,2,10,4
1,52,3,1,3,2,3,7,2
2,45,2,2,2,2,3,7,2
1,26,6,1,2,2,2,7,4
2,40,6,2,2,2,2,7,3
2,35,6,2,2,2,2,8,5
2,35,6,1,2,2,2,8,5
2,42,6,2,2,2,3,8,4
2,40,2,2,2,2,4,6,4
1,45,3,1,2,2,2,8,2
2,55,6,2,3,3,3,6,4
1,26,6,1,3,3,3,7,2
1,26,0,2,2,2,3,10,2
2,48,3,2,2,3,3,6,2
2,56,2,2,3,2,4,7,3
2,35,3,1,3,3,2,6,5
1,52,6,1,2,2,2,8,4
1,45,6,1,2,2,2,7,4
1,46,6,2,2,2,2,7,4
1,20,6,1,2,2,3,7,4
1,21,6,2,3,3,2,8,3
2,38,3,1,3,2,3,8,2
2,62,2,1,2,2,4,9,4
2,45,6,1,3,3,2,6,2
2,31,6,1,2,2,3,6,4
2,36,3,1,2,2,3,7,4
1,30,2,1,3,3,2,8,4
1,56,3,1,2,2,2,9,4
1,31,3,1,2,1,3,8,4
2,43,3,1,2,2,3,7,2
2,31,2,1,2,2,3,8,2
2,52,2,2,2,2,2,9,3
1,35,3,2,2,2,3,6,4
2,55,1,2,2,2,2,9,2
2,27,6,1,3,3,4,6,4
2,69,0,1,3,3,-2,3,2
2,60,2,2,3,2,4,6,4
1,66,1,2,3,3,2,7,3
1,67,0,1,2,2,2,9,1
1,31,1,2,2,2,4,6,4
2,48,3,1,2,2,3,7,4
2,63,0,1,3,2,4,10,1
2,40,2,2,3,2,3,8,4
2,64,2,2,2,2,2,7,2
2,30,6,1,3,2,3,7,4
2,50,2,1,2,2,4,8,3
2,50,3,2,3,3,3,7,2
2,62,0,1,2,2,3,8,2
2,29,2,1,2,2,3,8,5
1,42,2,1,3,2,3,9,1
2,46,2,2,2,2,3,4,2
2,69,1,2,2,2,1,10,1
2,65,2,2,2,2,2,10,2
2,35,2,1,2,2,3,6,5
2,69,2,1,2,1,4,10,4
2,61,1,1,3,2,4,7,2
1,55,3,1,2,2,3,10,4
2,64,0,1,2,2,4,2,2
1,68,3,1,2,2,3,9,4
1,25,1,1,3,3,4,8,4
1,65,1,1,2,1,1,10,2
2,66,0,1,2,2,3,9,2
2,31,2,1,2,2,3,8,5
2,38,2,1,2,2,3,8,4
1,18,3,1,2,2,2,7,4
2,64,1,1,3,2,4,7,2
1,45,3,2,2,2,2,6,4
1,49,6,1,3,3,3,8,4
2,32,2,1,3,2,3,8,1
1,46,6,2,2,2,2,8,2
1,49,3,1,2,2,2,8,2
2,42,1,1,2,2,2,5,2
1,66,3,2,2,2,3,7,4
1,47,6,1,2,2,3,8,4
2,42,6,1,2,2,2,8,5
2,29,6,1,2,2,3,7,5
2,65,2,1,3,3,1,6,4
2,51,1,2,2,2,4,7,4
2,18,6,2,3,2,2,8,4
2,68,1,1,3,2,2,10,4
2,61,1,1,2,2,2,9,4
2,50,2,2,3,2,3,2,4
2,62,2,2,3,3,3,5,2
2,55,6,1,2,2,1,5,2
1,19,2,2,3,2,2,5,3
2,23,6,2,2,2,4,6,4
1,46,1,1,3,2,2,10,4
1,37,3,1,3,2,1,7,1
2,65,1,2,2,2,3,6,2
1,69,1,2,2,2,4,7,2
2,45,2,3,3,3,2,6,3
1,25,3,2,2,2,3,6,2
2,46,3,2,3,2,2,10,2
2,65,2,1,2,2,2,10,2
1,20,6,3,3,2,2,4,2
2,51,3,2,2,2,4,5,4
2,42,1,2,2,2,2,6,4
2,44,2,2,3,3,4,6,4
2,38,3,2,2,2,2,8,-2
2,57,3,1,2,2,1,5,4
1,56,2,2,2,2,1,7,2
2,51,0,1,2,2,2,2,1
2,30,3,2,2,2,3,7,5
1,51,2,1,2,2,2,7,4
1,48,2,1,2,2,1,9,4
2,54,0,1,1,1,2,10,5
2,36,2,2,2,2,3,5,2
1,68,3,1,3,2,1,6,2
2,37,2,2,2,2,2,9,1
2,35,2,2,3,2,4,6,4
2,30,2,2,3,2,4,6,3
1,28,3,1,2,2,3,8,2
2,36,2,1,2,2,3,6,4
2,40,2,2,2,2,3,7,4
2,59,0,1,2,2,2,10,2
2,49,2,2,3,2,3,10,3
2,68,0,1,2,2,2,10,2
2,69,0,1,2,2,2,-2,3
1,37,2,4,3,3,1,2,4
1,59,2,2,2,2,4,10,1
1,43,2,2,2,2,4,10,2
1,20,2,3,2,2,4,5,1
2,60,1,1,3,2,3,8,5
2,55,0,2,2,2,2,8,4
2,68,2,2,3,2,2,10,2
2,34,2,2,2,2,2,10,2
1,28,1,3,3,4,4,5,1
2,32,1,2,2,2,3,7,5
2,37,2,2,3,2,2,7,2
2,51,1,2,2,2,2,6,4
1,70,1,1,2,2,1,8,4
2,32,2,1,2,2,2,10,4
1,70,1,2,2,2,1,9,3
1,18,3,1,2,2,3,8,3
1,47,1,1,2,2,4,9,4
1,43,3,2,3,2,2,7,3
1,42,2,2,2,2,2,8,1
1,32,3,2,2,2,2,6,4
1,18,3,1,3,2,1,9,2
2,44,6,1,3,2,3,8,4
2,52,1,1,2,2,2,8,4
2,22,6,1,2,2,4,5,3
2,21,6,1,3,2,2,9,4
1,30,6,2,3,2,3,8,4
2,50,2,2,2,2,2,7,4
1,61,3,1,2,2,1,10,3
1,19,6,3,3,2,4,4,2
1,42,6,1,3,2,3,8,2
2,46,0,2,2,2,2,8,2
2,30,6,1,4,3,3,7,3
2,38,3,1,2,2,2,9,2
1,48,2,1,2,2,3,9,4
2,22,6,2,2,2,2,8,4
1,48,6,2,2,2,3,9,4
1,65,1,3,2,2,2,8,4
1,24,2,1,2,2,2,6,2
2,38,6,2,2,2,1,5,4
2,25,6,1,2,2,3,8,4
1,21,6,1,3,2,3,7,3
2,19,3,2,2,2,3,8,2
2,64,0,2,2,2,3,7,3
2,37,1,1,2,2,3,9,4
1,38,6,1,3,2,3,7,4
1,35,6,1,2,1,1,9,3
2,51,0,2,3,2,3,6,3
2,57,3,1,3,2,2,10,2
2,60,2,1,2,2,2,7,4
2,28,3,3,3,2,3,2,4
2,48,6,2,3,2,2,7,4
2,20,3,2,2,2,2,7,4
2,37,1,3,3,2,2,1,3
2,45,1,1,2,2,3,7,2
2,32,2,2,2,2,3,6,4
2,26,3,1,2,1,2,8,4
1,30,3,1,3,2,3,7,4
1,47,2,1,2,2,1,8,4
1,43,6,1,2,2,2,6,4
1,20,3,1,2,2,3,7,3
2,39,3,1,2,2,3,7,2
1,20,2,1,3,2,3,9,4
2,18,3,2,1,1,2,8,4
1,51,1,1,4,2,3,6,4
2,30,2,1,3,2,2,7,2
1,33,2,1,3,2,2,6,3
2,31,1,1,3,3,3,5,4
2,31,2,1,3,2,2,5,2
2,47,2,1,4,2,3,6,5
1,28,6,1,3,2,2,7,3
2,42,1,1,3,2,3,8,4
1,45,6,1,2,2,2,9,1
1,35,6,1,2,2,1,9,2
1,64,2,1,3,2,3,8,4
1,32,2,2,2,2,2,9,4
2,32,3,1,2,2,3,6,3
2,26,3,1,2,2,3,7,4
2,61,1,1,2,2,3,9,2
2,22,6,2,2,2,3,8,5
2,63,0,1,2,2,2,8,4
1,46,2,1,3,2,3,7,4
1,56,6,2,2,2,1,7,2
2,46,6,1,2,2,2,10,4
2,40,3,1,2,2,2,7,4
2,50,6,1,3,1,2,8,2
2,32,3,2,2,2,3,8,4
2,20,6,1,2,2,2,8,2
1,40,6,1,4,3,2,4,4
1,55,3,2,2,2,1,4,4
1,46,6,1,2,2,2,7,2
1,38,2,3,2,2,2,6,2
1,27,6,2,2,2,1,6,2
2,55,6,2,3,2,2,8,4
2,41,3,1,2,2,2,7,4
2,18,3,2,2,2,4,10,4
2,65,6,1,2,2,3,9,4
2,52,6,1,3,3,3,8,3
1,24,6,2,2,2,2,8,4
2,40,6,1,2,2,2,8,4
1,70,1,1,2,2,2,7,1
1,32,6,2,2,2,2,6,4
1,70,6,1,3,2,3,5,4
2,60,7,2,3,2,3,7,4
2,50,3,2,2,3,4,8,5
2,20,6,1,2,2,3,7,4
1,21,6,1,2,2,1,10,4
2,31,6,1,2,2,1,9,4
1,44,6,1,2,2,2,9,4
1,40,6,1,2,2,2,10,2
1,36,6,2,2,2,1,7,4
2,49,6,2,2,3,2,10,4
2,42,6,2,2,3,1,8,4
2,41,6,3,3,4,3,7,4
1,18,3,1,2,2,2,9,2
2,30,3,2,2,2,3,7,4
1,18,3,1,2,2,3,7,4
1,49,2,1,2,2,2,8,4
1,55,3,2,3,2,1,7,2
1,48,6,1,2,2,2,7,2
2,44,3,1,2,2,2,8,4
2,45,0,3,2,1,2,7,2
1,36,3,2,2,2,2,5,2
1,57,3,1,2,2,1,5,2
2,49,2,2,2,2,1,9,3
2,52,2,2,3,1,2,8,4
2,27,6,2,2,2,3,8,4
2,27,3,2,2,2,3,10,2
2,52,2,1,2,1,3,9,2
1,51,2,1,3,2,3,6,2
1,64,2,2,2,2,3,8,2
1,69,1,2,3,2,1,9,2
1,55,3,1,3,2,1,9,2
1,18,3,2,3,2,4,8,4
1,24,6,1,2,2,2,6,2
2,51,2,2,2,2,3,10,2
2,27,3,2,2,2,3,8,2
2,51,1,1,2,2,2,8,4
1,56,2,2,2,2,3,6,2
1,43,3,1,2,1,2,8,2
1,69,0,1,3,2,2,9,1
1,48,6,2,2,2,3,9,4
2,66,1,2,2,1,2,8,4
2,65,2,2,3,2,2,10,2
2,63,1,2,2,2,4,7,4
2,27,2,4,2,2,2,6,2
2,48,2,1,2,2,2,8,4
2,38,2,2,2,2,3,7,2
1,40,2,2,2,2,3,6,4
1,55,2,2,4,2,2,4,2
1,38,3,2,3,2,3,8,2
2,65,1,2,2,2,3,7,4
2,67,1,1,2,1,2,10,2
1,61,3,2,3,2,1,8,4
2,43,2,2,2,2,3,8,5
2,60,2,3,2,2,3,5,2
2,46,1,2,2,2,2,8,4
2,30,6,2,2,2,2,9,4
2,29,6,2,3,3,3,8,4
1,67,2,2,2,2,2,5,4
1,20,6,1,2,2,2,7,4
1,53,1,2,3,3,4,8,2
1,60,2,2,3,2,3,10,4
2,53,2,1,2,2,3,5,2
2,27,3,1,4,2,3,8,4
1,47,2,1,3,2,2,1,4
2,36,2,2,3,3,3,9,2
1,44,2,2,2,2,3,5,2
1,53,3,1,2,1,2,6,2
1,23,3,2,3,2,2,7,4
1,38,2,2,2,2,2,5,2
1,19,6,1,2,2,3,8,4
2,54,2,1,2,2,2,7,1
1,23,6,2,2,2,2,7,2
2,44,1,2,3,3,2,8,2
2,20,6,2,2,2,2,5,4
2,31,2,1,3,2,2,5,4
2,44,3,1,2,2,2,6,4
1,55,6,1,3,2,1,3,3
1,37,3,1,2,1,2,5,4
1,24,6,1,2,2,3,8,4
2,44,2,2,2,2,2,5,2
1,43,2,1,2,2,2,5,4
2,59,0,1,2,2,3,6,2
